id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2021-03-16T04:06:56;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2021-03-15T23:07:16;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2021-03-16T01:16:18;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2021-03-15T18:00:43;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2021-03-16T09:23:49;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2021-03-15T20:45:55;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2021-03-15T23:42:27;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2021-03-15T13:45:06;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2021-03-15T16:34:42;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2021-03-15T17:17:07;601;74069
